AgentId,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30
MINNG0057,36-45,Female,<5,Yes,Not at all,Maintained,None,Never,None,Negative,Yes,Very important,A lot,Against,Always,Yes,Environmental impact,Incompatible,Yes,Yes,Yes,Basketball,Does not follow football,Never,Friends,A lot,Yes,Sports events,Religious music,Frequently
MINNG0058,36-45,Female,20+,Yes,Not at all,Maintained,None,Never,None,Negative,Yes,Very important,A lot,Neutral,Always,Yes,Environmental impact,Incompatible,Yes,Yes,Yes,Basketball,Does not follow football,Always,Friends,A lot,Yes,Sports events,Religious music,Frequently
MINNG0059,36-45,Female,20+,Yes,Not at all,Maintained,None,Never,None,Negative,Yes,Very important,A lot,Neutral,Always,Yes,Environmental impact,Incompatible,Yes,Yes,Yes,Basketball,Does not follow football,Always,Friends,A lot,Yes,Sports events,Religious music,Frequently
MINNG0060,36-45,Female,20+,Yes,Not at all,Maintained,None,Never,None,Negative,Yes,Very important,A lot,Neutral,Always,Yes,Environmental impact,Incompatible,Yes,Yes,Yes,Basketball,Does not follow football,Always,Friends,A lot,Yes,Sports events,Religious music,Frequently
MINNG0061,36-45,Female,5-10,Yes,Not at all,Maintained,None,Never,None,Negative,Yes,Very important,A lot,Neutral,Always,Yes,Environmental impact,Incompatible,Yes,Yes,Yes,Basketball,Does not follow football,Always,Friends,A lot,Yes,Community meetings,Religious music,Frequently
MINNG0062,36-45,Female,11-20,Yes,Not at all,Maintained,None,Never,None,Negative,Yes,Very important,A lot,Neutral,Always,Yes,Environmental impact,Incompatible,Yes,Yes,Yes,Basketball,Does not follow football,Always,Friends,A lot,Yes,Community meetings,International music,Frequently
MINNG0063,46-60,Female,20+,Yes,A little,Maintained,None,Never,None,Negative,Yes,Very important,A lot,Neutral,Always,Yes,Environmental impact,Incompatible,Yes,No,Yes,Basketball,Does not follow football,Always,Friends,A lot,Yes,Community meetings,Religious music,Frequently
MINNG0064,46-60,Male,20+,Yes,A little,Maintained,None,Never,None,Very positive,Yes,Very important,A little,Against,Always,Yes,Environmental impact,Incompatible,Yes,Maybe,Yes,Basketball,Does not follow football,Always,Friends,A lot,Yes,Community meetings,International music,Frequently
MINNG0065,46-60,Female,20+,Yes,A little,Maintained,None,Never,None,Very positive,Yes,Very important,Not at all,Against,Always,Yes,Environmental impact,A little compatible,Yes,No,Yes,Basketball,Does not follow football,Always,Friends,A lot,Yes,Community meetings,Varied,Frequently
MINNG0066,46-60,No response,20+,Yes,Not at all,Maintained,None,Never,None,Very positive,Yes,Very important,Not at all,Against,Always,Yes,Environmental impact,Totally compatible,Yes,Yes,Yes,Basketball,Does not follow football,Always,Friends,A lot,Yes,Community meetings,Varied,Frequently
MINNG0067,46-60,No response,20+,Yes,Not at all,Maintained,None,Never,None,Very positive,Yes,Very important,Not at all,Against,Always,Yes,Environmental impact,Totally compatible,Yes,Maybe,Yes,Basketball,Does not follow football,Always,Friends,A lot,Yes,Community meetings,Traditional music,Frequently
MINNG0068,46-60,No response,20+,Yes,Not at all,Maintained,None,Never,None,Very positive,Yes,Very important,Not at all,Against,Always,Yes,Environmental impact,Totally compatible,Yes,No,Yes,Basketball,Does not follow football,Never,Family,A lot,Yes,Sports events,Traditional music,Frequently
MINNG0069,18-25,No response,20+,Yes,Not at all,Maintained,None,Never,None,Very positive,Yes,Very important,Not at all,No opinion,Always,Yes,Environmental impact,Totally compatible,No,Yes,Yes,Basketball,Does not follow football,Never,Family,A lot,Yes,Community meetings,Traditional music,Frequently
MINNG0070,36-45,Male,20+,Yes,A little,Maintained,None,Never,None,Very positive,Yes,Very important,Not at all,Against,Always,Yes,Environmental impact,Totally compatible,No,Maybe,Yes,Basketball,International team,Never,Family,A lot,Yes,Sports events,Traditional music,Frequently
MINNG0071,18-25,Male,20+,Yes,Not at all,Maintained,None,Never,None,Very positive,Yes,Very important,Not at all,No opinion,Always,Yes,Environmental impact,Totally compatible,No,No,Yes,Basketball,International team,Never,Family,A lot,Yes,Community meetings,Traditional music,Frequently
MINNG0072,36-45,Male,20+,Yes,Not at all,Maintained,None,Never,None,Very positive,Yes,Very important,Not at all,Against,Always,Yes,Environmental impact,Totally compatible,Unsure,Yes,Yes,Basketball,International team,Never,Family,A lot,Yes,Sports events,Traditional music,Frequently
MINNG0073,18-25,Male,20+,Yes,Not at all,Maintained,None,Never,None,Very positive,Yes,Very important,Not at all,Neutral,Always,Yes,Environmental impact,Totally compatible,No,Yes,Yes,Basketball,International team,Never,Family,A lot,Yes,Sports events,Traditional music,Frequently
MINNG0074,36-45,Female,20+,Yes,Not at all,Maintained,None,Never,None,Very positive,Yes,Very important,Not at all,Against,Rarely,Yes,Environmental impact,Totally compatible,Unsure,Yes,No,Basketball,International team,Never,Family,A lot,Yes,Community meetings,Traditional music,Frequently
MINNG0075,36-45,Male,20+,Yes,Not at all,Maintained,None,Never,None,Very positive,Yes,Very important,Not at all,Against,Always,Yes,Environmental impact,Totally compatible,Yes,Yes,No,Basketball,International team,Never,Family,A lot,Yes,Sports events,Traditional music,Frequently
MINNG0076,18-25,Male,20+,Yes,A little,Maintained,Significant,Never,None,Very positive,Yes,Very important,Not at all,Against,Always,Yes,Environmental impact,Totally compatible,Yes,Yes,No,Basketball,International team,Never,Family,A lot,Yes,Community meetings,Traditional music,Frequently
MINNG0077,46-60,Male,20+,Yes,Not at all,Maintained,Significant,Never,None,Very positive,Yes,Very important,Not at all,Against,Always,Yes,Environmental impact,Totally compatible,Yes,Yes,No,Basketball,International team,Never,Family,A lot,Yes,Sports events,Traditional music,Frequently
MINNG0078,18-25,Male,20+,Yes,Not at all,Maintained,Significant,Never,None,Very positive,Yes,Very important,Not at all,Against,Always,Yes,Environmental impact,Totally compatible,Yes,Yes,No,Basketball,International team,Never,Family,A lot,Yes,Community meetings,Traditional music,Frequently
MINNG0079,36-45,Male,20+,Yes,Not at all,Maintained,Significant,Never,None,Very positive,Yes,Very important,Not at all,Against,Always,Yes,Environmental impact,Totally compatible,Yes,Yes,No,Basketball,International team,Never,Family,A lot,Yes,Sports events,Traditional music,Frequently
MINNG0080,36-45,Female,20+,Yes,Not at all,Maintained,Significant,Never,None,Very positive,Yes,Very important,Not at all,Against,Always,Yes,Environmental impact,Totally compatible,Yes,No,No,Basketball,International team,Never,Family,A lot,Yes,Community meetings,Traditional music,Frequently
MINNG0081,36-45,Male,20+,Yes,Not at all,Maintained,Significant,Never,None,Very positive,Yes,Very important,Not at all,Against,Always,Yes,Environmental impact,Totally compatible,Yes,Maybe,No,Basketball,International team,Never,Family,A lot,Yes,Sports events,Traditional music,Frequently
MINNG0082,46-60,Male,20+,Yes,Not at all,Maintained,Significant,Never,None,Very positive,Yes,Very important,Not at all,Against,Never,Yes,Environmental impact,Totally compatible,Yes,No,No,Basketball,International team,Never,Family,A lot,Yes,Community meetings,Traditional music,Frequently
MINNG0083,18-25,Male,20+,Yes,Not at all,Maintained,Significant,Never,None,Very positive,Yes,Very important,Not at all,Against,Always,Yes,Environmental impact,Totally compatible,Yes,Yes,No,Basketball,International team,Never,Family,A lot,Yes,Sports events,Traditional music,Frequently
MINNG0084,46-60,Male,20+,Yes,Not at all,Maintained,Significant,Never,None,Very positive,Yes,Very important,Not at all,Against,Always,Yes,Environmental impact,Totally compatible,Yes,No,No,Basketball,Does not follow football,Never,Family,A lot,Yes,Community meetings,Varied,Frequently
MINNG0085,46-60,Male,20+,Yes,Not at all,Maintained,Significant,Never,None,Very positive,Yes,Very important,Not at all,Against,Rarely,Yes,Environmental impact,Totally compatible,Yes,Maybe,No,Basketball,Does not follow football,Always,Family,A lot,Yes,Sports events,Traditional music,Frequently
MINNG0086,46-60,Male,20+,Yes,Not at all,Maintained,Significant,Never,None,Very positive,Yes,Very important,Not at all,Against,Never,Yes,Environmental impact,Totally compatible,No,No,No,Basketball,Does not follow football,Always,Family,A lot,Yes,Community meetings,Traditional music,Frequently
MINNG0087,18-25,Female,20+,Yes,Not at all,Maintained,Significant,Never,None,Very positive,Yes,Very important,Not at all,Against,Never,Yes,Environmental impact,Totally compatible,No,Yes,No,Basketball,Does not follow football,Always,Family,A lot,Yes,Community meetings,Traditional music,Frequently
MINNG0088,46-60,Male,20+,Yes,Not at all,Maintained,Significant,Never,None,Very positive,Yes,Very important,Not at all,Against,Rarely,Yes,Environmental impact,Totally compatible,Yes,No,No,Basketball,Does not follow football,Always,Family,A lot,Yes,Sports events,Traditional music,Frequently
MINNG0089,46-60,Male,20+,Yes,Not at all,Maintained,Significant,Never,None,Very positive,Yes,Very important,Not at all,Against,Always,Yes,Environmental impact,Totally compatible,Yes,Maybe,No,Basketball,Does not follow football,Always,Family,A lot,Yes,Sports events,Traditional music,Frequently
MINNG0090,46-60,Male,20+,Yes,Not at all,Maintained,Significant,Never,None,Very positive,Yes,Very important,Not at all,Against,Always,Yes,Environmental impact,Totally compatible,Yes,No,No,Basketball,International team,Always,Family,A lot,Yes,Sports events,Traditional music,Frequently
MINNG0091,18-25,Male,20+,Yes,Not at all,Maintained,Significant,Never,None,Very positive,Yes,Very important,Not at all,Against,Always,Yes,Environmental impact,Totally compatible,Yes,Yes,No,Basketball,International team,Always,Family,A lot,Yes,Religious events,Traditional music,Frequently
MINNG0092,46-60,Male,20+,Yes,Not at all,Maintained,Significant,Never,None,Very positive,Yes,Very important,Not at all,Against,Always,Yes,Environmental impact,Totally compatible,Yes,Maybe,Yes,Basketball,International team,Always,Family,A lot,Yes,Religious events,Varied,Frequently
MINNG0093,18-25,Male,20+,Yes,Not at all,Maintained,Significant,Never,None,Very positive,Yes,Very important,Not at all,Neutral,Always,Yes,Environmental impact,Totally compatible,Yes,No,Yes,Basketball,International team,Always,Family,A lot,Yes,Religious events,Traditional music,Frequently
MINNG0094,46-60,Female,20+,Yes,Not at all,Maintained,Significant,Never,None,Very positive,Yes,Very important,Not at all,Against,Always,Yes,Environmental impact,Totally compatible,Yes,Yes,Yes,Basketball,International team,Always,Family,A lot,Yes,Religious events,Traditional music,Frequently
MINNG0095,18-25,Male,20+,Yes,Not at all,Maintained,Significant,Never,None,Negative,Yes,Very important,Not at all,Against,Always,Yes,Environmental impact,Totally compatible,Yes,No,Yes,Basketball,International team,Always,Family,A lot,Yes,Religious events,Traditional music,Frequently
MINNG0096,46-60,Male,20+,Yes,Not at all,Maintained,Significant,Never,None,Negative,Yes,Very important,Not at all,Against,Always,Yes,Environmental impact,Totally compatible,Yes,Maybe,Yes,Basketball,International team,Always,Family,A lot,Yes,Religious events,Traditional music,Frequently
MINNG0097,46-60,Male,20+,Yes,Not at all,Maintained,Significant,Never,None,Negative,Yes,Very important,Not at all,Against,Always,Yes,Environmental impact,Totally compatible,Yes,No,Yes,Basketball,International team,Always,Family,A lot,Yes,Religious events,Traditional music,Frequently
MINNG0098,18-25,Male,20+,Yes,Not at all,Maintained,Significant,Never,None,Negative,Yes,Very important,Not at all,Against,Always,Yes,Environmental impact,Totally compatible,Yes,No,Yes,Basketball,International team,Always,Family,A lot,Yes,Religious events,Traditional music,Frequently
MINNG0099,46-60,Male,20+,Yes,Not at all,Maintained,Significant,Never,None,Negative,Yes,Very important,Not at all,Against,Always,Yes,Environmental impact,Totally compatible,Yes,No,Yes,Athletics,Does not follow football,Always,Family,A lot,Yes,Religious events,Traditional music,Frequently
MINNG0100,46-60,Male,20+,Yes,Not at all,Maintained,Significant,Never,None,Negative,Yes,Very important,Not at all,Against,Always,Yes,Environmental impact,Totally compatible,Yes,No,Yes,Athletics,International team,Always,Family,A lot,Yes,Religious events,Traditional music,Frequently
MINNG0101,18-25,Male,20+,Yes,A lot,Maintained,Significant,Never,None,Negative,Yes,Very important,Not at all,Against,Always,Yes,Environmental impact,Totally compatible,No,No,Yes,Athletics,Does not follow football,Always,Family,A lot,Yes,Religious events,Traditional music,Frequently
MINNG0102,46-60,Male,20+,Yes,A lot,Maintained,Significant,Never,None,Negative,Yes,Very important,Not at all,Against,Always,Yes,Environmental impact,Totally compatible,No,No,Yes,Athletics,Does not follow football,Always,Family,A lot,Yes,Religious events,Traditional music,Frequently
MINNG0103,46-60,Female,20+,Yes,A lot,Maintained,Significant,Never,None,Negative,Yes,Very important,Not at all,Against,Always,Yes,Environmental impact,Totally compatible,Yes,No,No,Athletics,International team,Always,Family,A lot,Yes,Religious events,Traditional music,Frequently
MINNG0104,36-45,Male,20+,Yes,Not at all,Maintained,Significant,Never,None,Negative,Yes,Very important,Not at all,Against,Always,Yes,Environmental impact,Totally compatible,Yes,No,No,Athletics,International team,Never,Family,A lot,Yes,Local festivities,Traditional music,Frequently
